Criptomoneda,Timestamp,Precio,Market Cap,Volumen de Transaccion
Bitcoin,2018-08-10 00:00:00.000,6531.24978673706,112337822894.367,5843796067.33207
Bitcoin,2018-08-11 00:00:00.000,6166.59041750174,106079149843.794,6731245061.31804
Bitcoin,2018-08-12 00:00:00.000,6205.21847994485,106756980148.523,5708911347.30245
Bitcoin,2018-08-13 00:00:00.000,6318.40722177442,108716328040.723,5507023282.24606
Bitcoin,2018-08-14 00:00:00.000,6283.99625058153,108135868387.493,5381627198.22714
Bitcoin,2018-08-15 00:00:00.000,6212.22604005561,106911788926.753,7179484727.41935
Bitcoin,2018-08-16 00:00:00.000,6267.76870877378,107788817699.531,6619548180.3873
Bitcoin,2018-08-17 00:00:00.000,6309.385226219,108578823549,5982589406.965
Bitcoin,2018-08-18 00:00:00.000,6566.71516337738,113018605465.472,6206194158.95144
Bitcoin,2018-08-19 00:00:00.000,6382.06059140761,109889851531.173,5616965845.86981
Bitcoin,2018-08-20 00:00:00.000,6475.49401966738,111490970656.332,5160365103.11191
Bitcoin,2018-08-21 00:00:00.000,6242.8824384008,107511643840.858,5578292470.70221
Bitcoin,2018-08-22 00:00:00.000,6467.27173030968,111399689881.157,5658517103.31264
Bitcoin,2018-08-23 00:00:00.000,6336.6563271087,109149076720.34,6759411527.69214
Bitcoin,2018-08-24 00:00:00.000,6521.06571826851,112327439428.772,6096332849.28664
Bitcoin,2018-08-25 00:00:00.000,6684.37914420668,115177527171.813,6913767387.86362
Bitcoin,2018-08-26 00:00:00.000,6736.03605751646,116073397012.042,5280060347.56451
Bitcoin,2018-08-27 00:00:00.000,6728.28800262901,115406552890.99,5215045899.16829
Bitcoin,2018-08-28 00:00:00.000,6911.09602894957,118546009735.925,5444349729.3461
Bitcoin,2018-08-29 00:00:00.000,7075.9834051051,121992306938.188,6246602891.54519
Bitcoin,2018-08-30 00:00:00.000,7046.74894728063,121479639297.297,5976493148.70572
Bitcoin,2018-08-31 00:00:00.000,7024.14510718162,121103237785.702,6587864491.26896
Bitcoin,2018-09-01 00:00:00.000,7027.63127940185,121186316787.302,5959884320.76227
